Country,Region,Year,Inflation Rate (%),Date
Australia,Oceania,2020,1.6,2020-01-01
Australia,Oceania,2021,3.4,2021-01-01
Australia,Oceania,2022,4.5,2022-01-01
Australia,Oceania,2023,4.1,2023-01-01
Australia,Oceania,2024,3.1,2024-01-01
Austria,Europe,2015,0.7,2015-01-01
Austria,Europe,2016,0.4,2016-01-01
Austria,Europe,2017,0.9,2017-01-01
Austria,Europe,2018,1.5,2018-01-01
Austria,Europe,2019,1.0,2019-01-01
Austria,Europe,2020,0.6,2020-01-01
Austria,Europe,2021,2.4,2021-01-01
Austria,Europe,2022,3.7,2022-01-01
Austria,Europe,2023,3.0,2023-01-01
Austria,Europe,2024,2.0,2024-01-01
Azerbaijan,Asia,2015,8.2,2015-01-01
Azerbaijan,Asia,2016,7.3,2016-01-01
Azerbaijan,Asia,2017,8.0,2017-01-01
Azerbaijan,Asia,2018,8.3,2018-01-01
Azerbaijan,Asia,2019,7.4,2019-01-01
Azerbaijan,Asia,2020,7.4,2020-01-01
Azerbaijan,Asia,2021,9.8,2021-01-01
Azerbaijan,Asia,2022,11.5,2022-01-01
Azerbaijan,Asia,2023,10.7,2023-01-01
Azerbaijan,Asia,2024,9.7,2024-01-01
Bahamas,North America,2015,1.6,2015-01-01
Bahamas,North America,2016,1.1,2016-01-01
Bahamas,North America,2017,1.4,2017-01-01
Bahamas,North America,2018,1.8,2018-01-01
Bahamas,North America,2019,1.0,2019-01-01
Bahamas,North America,2020,0.4,2020-01-01
Bahamas,North America,2021,2.6,2021-01-01
Bahamas,North America,2022,3.8,2022-01-01
Bahamas,North America,2023,3.4,2023-01-01
Bahamas,North America,2024,2.3,2024-01-01
Bahrain,Asia,2015,1.7,2015-01-01
Bahrain,Asia,2016,1.8,2016-01-01
Bahrain,Asia,2017,1.9,2017-01-01
Bahrain,Asia,2018,2.4,2018-01-01
Bahrain,Asia,2019,1.6,2019-01-01
Bahrain,Asia,2020,1.1,2020-01-01
Bahrain,Asia,2021,3.1,2021-01-01
Bahrain,Asia,2022,4.3,2022-01-01
Bahrain,Asia,2023,3.9,2023-01-01
Bahrain,Asia,2024,2.5,2024-01-01
Bangladesh,Asia,2015,6.2,2015-01-01
Bangladesh,Asia,2016,5.7,2016-01-01
Bangladesh,Asia,2017,6.0,2017-01-01
Bangladesh,Asia,2018,6.0,2018-01-01
Bangladesh,Asia,2019,6.0,2019-01-01
Bangladesh,Asia,2020,5.0,2020-01-01
Bangladesh,Asia,2021,8.1,2021-01-01
Bangladesh,Asia,2022,9.5,2022-01-01
Bangladesh,Asia,2023,9.1,2023-01-01
Bangladesh,Asia,2024,7.4,2024-01-01
Barbados,North America,2015,1.2,2015-01-01
Barbados,North America,2016,1.2,2016-01-01
Barbados,North America,2017,1.7,2017-01-01
Barbados,North America,2018,2.2,2018-01-01
Barbados,North America,2019,1.7,2019-01-01
Barbados,North America,2020,1.0,2020-01-01
Barbados,North America,2021,3.4,2021-01-01
Barbados,North America,2022,3.8,2022-01-01
Barbados,North America,2023,3.2,2023-01-01
Barbados,North America,2024,2.4,2024-01-01
Belarus,Europe,2015,6.8,2015-01-01
Belarus,Europe,2016,6.0,2016-01-01
Belarus,Europe,2017,7.5,2017-01-01
Belarus,Europe,2018,7.4,2018-01-01
Belarus,Europe,2019,6.4,2019-01-01
Belarus,Europe,2020,5.8,2020-01-01
Belarus,Europe,2021,9.1,2021-01-01
Belarus,Europe,2022,10.9,2022-01-01
Belarus,Europe,2023,10.3,2023-01-01
Belarus,Europe,2024,9.7,2024-01-01
Belgium,Europe,2015,1.6,2015-01-01
Belgium,Europe,2016,1.0,2016-01-01
Belgium,Europe,2017,1.1,2017-01-01
Belgium,Europe,2018,1.9,2018-01-01
Belgium,Europe,2019,1.3,2019-01-01
Belgium,Europe,2020,0.8,2020-01-01
Belgium,Europe,2021,2.8,2021-01-01
Belgium,Europe,2022,4.1,2022-01-01
Belgium,Europe,2023,3.6,2023-01-01
Belgium,Europe,2024,2.7,2024-01-01
Belize,North America,2015,1.2,2015-01-01
Belize,North America,2016,0.6,2016-01-01
Belize,North America,2017,0.9,2017-01-01
Belize,North America,2018,1.5,2018-01-01
Belize,North America,2019,1.2,2019-01-01
Belize,North America,2020,1.0,2020-01-01
Belize,North America,2021,2.7,2021-01-01
Belize,North America,2022,4.1,2022-01-01
Belize,North America,2023,3.0,2023-01-01
Belize,North America,2024,2.0,2024-01-01
Benin,Africa,2015,0.8,2015-01-01
Benin,Africa,2016,0.5,2016-01-01
Benin,Africa,2017,1.7,2017-01-01
Benin,Africa,2018,1.2,2018-01-01
Benin,Africa,2019,1.2,2019-01-01
Benin,Africa,2020,0.2,2020-01-01
Benin,Africa,2021,2.7,2021-01-01
Benin,Africa,2022,3.7,2022-01-01
Benin,Africa,2023,2.8,2023-01-01
Benin,Africa,2024,2.1,2024-01-01
Bhutan,Asia,2015,2.8,2015-01-01
Bhutan,Asia,2016,2.7,2016-01-01
Bhutan,Asia,2017,3.1,2017-01-01
Bhutan,Asia,2018,3.2,2018-01-01
Bhutan,Asia,2019,2.7,2019-01-01
Bhutan,Asia,2020,2.2,2020-01-01
Bhutan,Asia,2021,5.4,2021-01-01
Bhutan,Asia,2022,6.5,2022-01-01
Bhutan,Asia,2023,5.5,2023-01-01
Bhutan,Asia,2024,4.6,2024-01-01
Bolivia,South America,2015,3.8,2015-01-01
Bolivia,South America,2016,3.2,2016-01-01
Bolivia,South America,2017,3.6,2017-01-01
Bolivia,South America,2018,4.3,2018-01-01
Bolivia,South America,2019,3.6,2019-01-01
Bolivia,South America,2020,3.1,2020-01-01
Bolivia,South America,2021,5.5,2021-01-01
Bolivia,South America,2022,6.7,2022-01-01
Bolivia,South America,2023,5.7,2023-01-01
Bolivia,South America,2024,5.4,2024-01-01
Bosnia and Herzegovina,Europe,2015,1.2,2015-01-01
Bosnia and Herzegovina,Europe,2016,0.5,2016-01-01
Bosnia and Herzegovina,Europe,2017,0.9,2017-01-01
Bosnia and Herzegovina,Europe,2018,1.5,2018-01-01
Bosnia and Herzegovina,Europe,2019,0.5,2019-01-01
Bosnia and Herzegovina,Europe,2020,-0.0,2020-01-01
Bosnia and Herzegovina,Europe,2021,2.5,2021-01-01
Bosnia and Herzegovina,Europe,2022,3.3,2022-01-01
Bosnia and Herzegovina,Europe,2023,2.7,2023-01-01
Bosnia and Herzegovina,Europe,2024,1.9,2024-01-01
Botswana,Africa,2015,3.6,2015-01-01
Botswana,Africa,2016,3.5,2016-01-01
Botswana,Africa,2017,3.7,2017-01-01
Botswana,Africa,2018,4.2,2018-01-01
Botswana,Africa,2019,3.0,2019-01-01
Botswana,Africa,2020,2.7,2020-01-01
Botswana,Africa,2021,5.3,2021-01-01
Botswana,Africa,2022,6.7,2022-01-01
Botswana,Africa,2023,5.8,2023-01-01
Botswana,Africa,2024,4.9,2024-01-01
Brazil,South America,2015,6.9,2015-01-01
Brazil,South America,2016,5.6,2016-01-01
Brazil,South America,2017,6.7,2017-01-01
Brazil,South America,2018,6.8,2018-01-01
Brazil,South America,2019,6.4,2019-01-01
Brazil,South America,2020,6.1,2020-01-01
Brazil,South America,2021,8.7,2021-01-01
Brazil,South America,2022,10.5,2022-01-01
Brazil,South America,2023,8.9,2023-01-01
Brazil,South America,2024,7.7,2024-01-01
Brunei,Asia,2015,0.4,2015-01-01
Brunei,Asia,2016,0.3,2016-01-01
Brunei,Asia,2017,0.7,2017-01-01
Brunei,Asia,2018,0.6,2018-01-01
Brunei,Asia,2019,0.5,2019-01-01
Brunei,Asia,2020,-0.0,2020-01-01
Brunei,Asia,2021,2.6,2021-01-01
Brunei,Asia,2022,3.6,2022-01-01
Brunei,Asia,2023,2.2,2023-01-01
Brunei,Asia,2024,1.6,2024-01-01
Bulgaria,Europe,2015,0.8,2015-01-01
Bulgaria,Europe,2016,0.8,2016-01-01
Bulgaria,Europe,2017,1.4,2017-01-01
Bulgaria,Europe,2018,1.9,2018-01-01
Bulgaria,Europe,2019,1.0,2019-01-01
Bulgaria,Europe,2020,0.4,2020-01-01
Bulgaria,Europe,2021,2.2,2021-01-01
Bulgaria,Europe,2022,3.8,2022-01-01
Bulgaria,Europe,2023,2.8,2023-01-01
Bulgaria,Europe,2024,2.2,2024-01-01
Burkina Faso,Africa,2015,0.8,2015-01-01
Burkina Faso,Africa,2016,0.7,2016-01-01
Burkina Faso,Africa,2017,0.7,2017-01-01
Burkina Faso,Africa,2018,1.0,2018-01-01
Burkina Faso,Africa,2019,1.5,2019-01-01
Burkina Faso,Africa,2020,0.1,2020-01-01
Burkina Faso,Africa,2021,2.2,2021-01-01
Burkina Faso,Africa,2022,4.1,2022-01-01
Burkina Faso,Africa,2023,3.6,2023-01-01
Burkina Faso,Africa,2024,1.8,2024-01-01
Burundi,Africa,2015,7.8,2015-01-01
Burundi,Africa,2016,7.8,2016-01-01
Burundi,Africa,2017,9.0,2017-01-01
Burundi,Africa,2018,8.0,2018-01-01
Burundi,Africa,2019,7.9,2019-01-01
Burundi,Africa,2020,7.6,2020-01-01
Burundi,Africa,2021,10.2,2021-01-01
Burundi,Africa,2022,11.3,2022-01-01
Burundi,Africa,2023,10.4,2023-01-01
Burundi,Africa,2024,8.8,2024-01-01
Cabo Verde,Africa,2015,1.4,2015-01-01
Cabo Verde,Africa,2016,1.1,2016-01-01
Cabo Verde,Africa,2017,1.7,2017-01-01
Cabo Verde,Africa,2018,1.7,2018-01-01
Cabo Verde,Africa,2019,1.6,2019-01-01
Cabo Verde,Africa,2020,1.2,2020-01-01
Cabo Verde,Africa,2021,3.0,2021-01-01
Cabo Verde,Africa,2022,4.2,2022-01-01
Cabo Verde,Africa,2023,3.4,2023-01-01
Cabo Verde,Africa,2024,2.6,2024-01-01
Cambodia,Asia,2015,2.8,2015-01-01
Cambodia,Asia,2016,2.7,2016-01-01
Cambodia,Asia,2017,3.2,2017-01-01
Cambodia,Asia,2018,4.0,2018-01-01
Cambodia,Asia,2019,3.4,2019-01-01
Cambodia,Asia,2020,2.3,2020-01-01
Cambodia,Asia,2021,4.8,2021-01-01
Cambodia,Asia,2022,6.2,2022-01-01
Cambodia,Asia,2023,5.8,2023-01-01
Cambodia,Asia,2024,4.6,2024-01-01
Cameroon,Africa,2015,2.1,2015-01-01
Cameroon,Africa,2016,1.3,2016-01-01
Cameroon,Africa,2017,2.4,2017-01-01
Cameroon,Africa,2018,2.5,2018-01-01
Cameroon,Africa,2019,1.7,2019-01-01
Cameroon,Africa,2020,1.3,2020-01-01
Cameroon,Africa,2021,3.6,2021-01-01
Cameroon,Africa,2022,4.6,2022-01-01
Cameroon,Africa,2023,3.8,2023-01-01
Cameroon,Africa,2024,3.1,2024-01-01
Canada,North America,2015,1.7,2015-01-01
Canada,North America,2016,1.5,2016-01-01
Canada,North America,2017,2.3,2017-01-01
Canada,North America,2018,1.5,2018-01-01
Canada,North America,2019,1.7,2019-01-01
Canada,North America,2020,1.2,2020-01-01
Canada,North America,2021,3.4,2021-01-01
Canada,North America,2022,4.3,2022-01-01
Canada,North America,2023,3.2,2023-01-01
Canada,North America,2024,3.0,2024-01-01
Central African Republic,Africa,2015,3.4,2015-01-01
Central African Republic,Africa,2016,2.2,2016-01-01
Central African Republic,Africa,2017,3.4,2017-01-01
Central African Republic,Africa,2018,3.4,2018-01-01
Central African Republic,Africa,2019,3.0,2019-01-01
Central African Republic,Africa,2020,1.9,2020-01-01
Central African Republic,Africa,2021,4.9,2021-01-01
Central African Republic,Africa,2022,6.8,2022-01-01
Central African Republic,Africa,2023,5.6,2023-01-01
Central African Republic,Africa,2024,4.9,2024-01-01
Chad,Africa,2015,2.8,2015-01-01
Chad,Africa,2016,2.3,2016-01-01
Chad,Africa,2017,3.1,2017-01-01
Chad,Africa,2018,3.0,2018-01-01
Chad,Africa,2019,2.7,2019-01-01
Chad,Africa,2020,1.8,2020-01-01
Chad,Africa,2021,4.0,2021-01-01
Chad,Africa,2022,5.0,2022-01-01
Chad,Africa,2023,4.6,2023-01-01
Chad,Africa,2024,3.3,2024-01-01
Chile,South America,2015,3.7,2015-01-01
Chile,South America,2016,3.1,2016-01-01
Chile,South America,2017,4.0,2017-01-01
Chile,South America,2018,4.2,2018-01-01
Chile,South America,2019,4.0,2019-01-01
Chile,South America,2020,2.9,2020-01-01
Chile,South America,2021,5.1,2021-01-01
Chile,South America,2022,7.0,2022-01-01
Chile,South America,2023,5.7,2023-01-01
Chile,South America,2024,4.9,2024-01-01
China,Asia,2015,2.2,2015-01-01
China,Asia,2016,1.7,2016-01-01
China,Asia,2017,1.8,2017-01-01
China,Asia,2018,1.9,2018-01-01
China,Asia,2019,1.8,2019-01-01
China,Asia,2020,0.9,2020-01-01
China,Asia,2021,3.1,2021-01-01
China,Asia,2022,4.5,2022-01-01
China,Asia,2023,4.0,2023-01-01
China,Asia,2024,3.1,2024-01-01
Colombia,South America,2015,3.9,2015-01-01
Colombia,South America,2016,4.2,2016-01-01
Colombia,South America,2017,4.7,2017-01-01
Colombia,South America,2018,5.1,2018-01-01
Colombia,South America,2019,4.9,2019-01-01
Colombia,South America,2020,3.1,2020-01-01
Colombia,South America,2021,6.3,2021-01-01
Colombia,South America,2022,8.2,2022-01-01
Colombia,South America,2023,6.6,2023-01-01
Colombia,South America,2024,6.4,2024-01-01
Comoros,Africa,2015,2.1,2015-01-01
Comoros,Africa,2016,1.9,2016-01-01
Comoros,Africa,2017,2.0,2017-01-01
Comoros,Africa,2018,2.6,2018-01-01
Comoros,Africa,2019,2.3,2019-01-01
Comoros,Africa,2020,1.5,2020-01-01
Comoros,Africa,2021,3.6,2021-01-01
Comoros,Africa,2022,4.7,2022-01-01
Comoros,Africa,2023,3.7,2023-01-01
Comoros,Africa,2024,3.1,2024-01-01
"Congo, Dem. Rep.",Africa,2015,11.9,2015-01-01
"Congo, Dem. Rep.",Africa,2016,11.9,2016-01-01
"Congo, Dem. Rep.",Africa,2017,12.9,2017-01-01
"Congo, Dem. Rep.",Africa,2018,11.7,2018-01-01
"Congo, Dem. Rep.",Africa,2019,11.9,2019-01-01
"Congo, Dem. Rep.",Africa,2020,12.3,2020-01-01
"Congo, Dem. Rep.",Africa,2021,13.5,2021-01-01
"Congo, Dem. Rep.",Africa,2022,14.9,2022-01-01
"Congo, Dem. Rep.",Africa,2023,14.6,2023-01-01
"Congo, Dem. Rep.",Africa,2024,14.1,2024-01-01
"Congo, Rep.",Africa,2015,2.5,2015-01-01
"Congo, Rep.",Africa,2016,2.5,2016-01-01
"Congo, Rep.",Africa,2017,2.9,2017-01-01
"Congo, Rep.",Africa,2018,3.1,2018-01-01
"Congo, Rep.",Africa,2019,2.6,2019-01-01
"Congo, Rep.",Africa,2020,2.5,2020-01-01
"Congo, Rep.",Africa,2021,3.9,2021-01-01
"Congo, Rep.",Africa,2022,4.6,2022-01-01
"Congo, Rep.",Africa,2023,4.8,2023-01-01
"Congo, Rep.",Africa,2024,3.5,2024-01-01
Costa Rica,North America,2015,2.0,2015-01-01
Costa Rica,North America,2016,2.0,2016-01-01
Costa Rica,North America,2017,1.7,2017-01-01
Costa Rica,North America,2018,2.1,2018-01-01
Costa Rica,North America,2019,1.6,2019-01-01
Costa Rica,North America,2020,1.2,2020-01-01
Costa Rica,North America,2021,3.6,2021-01-01
Costa Rica,North America,2022,4.8,2022-01-01
Costa Rica,North America,2023,3.9,2023-01-01
Costa Rica,North America,2024,2.8,2024-01-01
Cote d'Ivoire,Africa,2015,0.9,2015-01-01
Cote d'Ivoire,Africa,2016,1.2,2016-01-01
Cote d'Ivoire,Africa,2017,1.5,2017-01-01
Cote d'Ivoire,Africa,2018,2.0,2018-01-01
Cote d'Ivoire,Africa,2019,1.7,2019-01-01
Cote d'Ivoire,Africa,2020,0.9,2020-01-01
Cote d'Ivoire,Africa,2021,3.2,2021-01-01
Cote d'Ivoire,Africa,2022,4.2,2022-01-01
Cote d'Ivoire,Africa,2023,3.5,2023-01-01
Cote d'Ivoire,Africa,2024,2.4,2024-01-01
Croatia,Europe,2015,1.0,2015-01-01
Croatia,Europe,2016,0.7,2016-01-01
Croatia,Europe,2017,1.4,2017-01-01
Croatia,Europe,2018,1.3,2018-01-01
Croatia,Europe,2019,1.1,2019-01-01
Croatia,Europe,2020,0.3,2020-01-01
Croatia,Europe,2021,2.5,2021-01-01
Croatia,Europe,2022,3.8,2022-01-01
Croatia,Europe,2023,2.4,2023-01-01
Croatia,Europe,2024,1.8,2024-01-01
Cyprus,Europe,2015,0.6,2015-01-01
Cyprus,Europe,2016,0.1,2016-01-01
Cyprus,Europe,2017,1.0,2017-01-01
Cyprus,Europe,2018,1.6,2018-01-01
Cyprus,Europe,2019,0.9,2019-01-01
Cyprus,Europe,2020,0.4,2020-01-01
Cyprus,Europe,2021,2.8,2021-01-01
Cyprus,Europe,2022,4.0,2022-01-01
Cyprus,Europe,2023,2.9,2023-01-01
Cyprus,Europe,2024,2.5,2024-01-01
Czechia,Europe,2015,2.0,2015-01-01
Czechia,Europe,2016,1.5,2016-01-01
Czechia,Europe,2017,2.0,2017-01-01
Czechia,Europe,2018,2.0,2018-01-01
Czechia,Europe,2019,1.8,2019-01-01
Czechia,Europe,2020,1.3,2020-01-01
Czechia,Europe,2021,3.7,2021-01-01
Czechia,Europe,2022,5.1,2022-01-01
Czechia,Europe,2023,3.5,2023-01-01
Czechia,Europe,2024,3.2,2024-01-01
Denmark,Europe,2015,1.2,2015-01-01
Denmark,Europe,2016,1.3,2016-01-01
Denmark,Europe,2017,1.6,2017-01-01
Denmark,Europe,2018,1.4,2018-01-01
Denmark,Europe,2019,1.7,2019-01-01
Denmark,Europe,2020,0.7,2020-01-01
Denmark,Europe,2021,2.9,2021-01-01
Denmark,Europe,2022,3.9,2022-01-01
Denmark,Europe,2023,3.2,2023-01-01
Denmark,Europe,2024,2.7,2024-01-01
Djibouti,Africa,2015,2.5,2015-01-01
Djibouti,Africa,2016,2.3,2016-01-01
Djibouti,Africa,2017,2.7,2017-01-01
Djibouti,Africa,2018,3.2,2018-01-01
Djibouti,Africa,2019,2.4,2019-01-01
Djibouti,Africa,2020,1.5,2020-01-01
Djibouti,Africa,2021,4.3,2021-01-01
Djibouti,Africa,2022,5.0,2022-01-01
Djibouti,Africa,2023,4.7,2023-01-01
Djibouti,Africa,2024,3.7,2024-01-01
Dominica,North America,2015,1.0,2015-01-01
Dominica,North America,2016,0.8,2016-01-01
Dominica,North America,2017,1.6,2017-01-01
Dominica,North America,2018,1.9,2018-01-01
Dominica,North America,2019,1.0,2019-01-01
Dominica,North America,2020,0.4,2020-01-01
Dominica,North America,2021,2.8,2021-01-01
Dominica,North America,2022,3.4,2022-01-01
Dominica,North America,2023,3.0,2023-01-01
Dominica,North America,2024,2.1,2024-01-01
Dominican Republic,North America,2015,3.1,2015-01-01
Dominican Republic,North America,2016,2.4,2016-01-01
Dominican Republic,North America,2017,2.8,2017-01-01
Dominican Republic,North America,2018,3.0,2018-01-01
Dominican Republic,North America,2019,2.7,2019-01-01
Dominican Republic,North America,2020,2.1,2020-01-01
Dominican Republic,North America,2021,4.9,2021-01-01
Dominican Republic,North America,2022,7.0,2022-01-01
Dominican Republic,North America,2023,5.8,2023-01-01
Dominican Republic,North America,2024,4.3,2024-01-01
Ecuador,South America,2015,1.6,2015-01-01
Ecuador,South America,2016,1.1,2016-01-01
Ecuador,South America,2017,1.6,2017-01-01
Ecuador,South America,2018,1.9,2018-01-01
Ecuador,South America,2019,1.7,2019-01-01
Ecuador,South America,2020,0.8,2020-01-01
Ecuador,South America,2021,3.3,2021-01-01
Ecuador,South America,2022,3.8,2022-01-01
Ecuador,South America,2023,3.4,2023-01-01
Ecuador,South America,2024,3.3,2024-01-01
Egypt,Africa,2015,10.1,2015-01-01
Egypt,Africa,2016,10.5,2016-01-01
Egypt,Africa,2017,10.3,2017-01-01
Egypt,Africa,2018,10.8,2018-01-01
Egypt,Africa,2019,10.0,2019-01-01
Egypt,Africa,2020,9.1,2020-01-01
Egypt,Africa,2021,11.5,2021-01-01
Egypt,Africa,2022,13.8,2022-01-01
Egypt,Africa,2023,12.0,2023-01-01
Egypt,Africa,2024,11.9,2024-01-01
El Salvador,North America,2015,1.8,2015-01-01
El Salvador,North America,2016,1.3,2016-01-01
El Salvador,North America,2017,1.6,2017-01-01
El Salvador,North America,2018,2.0,2018-01-01
El Salvador,North America,2019,1.4,2019-01-01
El Salvador,North America,2020,1.1,2020-01-01
El Salvador,North America,2021,2.5,2021-01-01
El Salvador,North America,2022,4.0,2022-01-01
El Salvador,North America,2023,2.9,2023-01-01
El Salvador,North America,2024,2.3,2024-01-01
Equatorial Guinea,Africa,2015,3.3,2015-01-01
Equatorial Guinea,Africa,2016,2.8,2016-01-01
Equatorial Guinea,Africa,2017,3.0,2017-01-01
Equatorial Guinea,Africa,2018,3.1,2018-01-01
Equatorial Guinea,Africa,2019,2.3,2019-01-01
Equatorial Guinea,Africa,2020,2.1,2020-01-01
Equatorial Guinea,Africa,2021,5.6,2021-01-01
Equatorial Guinea,Africa,2022,6.6,2022-01-01
Equatorial Guinea,Africa,2023,5.4,2023-01-01
Equatorial Guinea,Africa,2024,4.6,2024-01-01
Eritrea,Africa,2015,10.9,2015-01-01
Eritrea,Africa,2016,11.4,2016-01-01
Eritrea,Africa,2017,12.3,2017-01-01
Eritrea,Africa,2018,12.4,2018-01-01
Eritrea,Africa,2019,12.6,2019-01-01
Eritrea,Africa,2020,11.4,2020-01-01
Eritrea,Africa,2021,14.5,2021-01-01
Eritrea,Africa,2022,15.0,2022-01-01
Eritrea,Africa,2023,15.1,2023-01-01
Eritrea,Africa,2024,14.7,2024-01-01
Estonia,Europe,2015,2.8,2015-01-01
Estonia,Europe,2016,2.4,2016-01-01
Estonia,Europe,2017,3.5,2017-01-01
Estonia,Europe,2018,3.5,2018-01-01
Estonia,Europe,2019,3.4,2019-01-01
Estonia,Europe,2020,2.1,2020-01-01
Estonia,Europe,2021,5.4,2021-01-01
Estonia,Europe,2022,6.5,2022-01-01
Estonia,Europe,2023,5.6,2023-01-01
Estonia,Europe,2024,4.9,2024-01-01
Eswatini,Africa,2015,4.9,2015-01-01
Eswatini,Africa,2016,4.3,2016-01-01
Eswatini,Africa,2017,5.1,2017-01-01
Eswatini,Africa,2018,5.6,2018-01-01
Eswatini,Africa,2019,4.5,2019-01-01
Eswatini,Africa,2020,4.4,2020-01-01
Eswatini,Africa,2021,6.8,2021-01-01
Eswatini,Africa,2022,8.8,2022-01-01
Eswatini,Africa,2023,6.8,2023-01-01
Eswatini,Africa,2024,6.3,2024-01-01
Ethiopia,Africa,2015,9.0,2015-01-01
Ethiopia,Africa,2016,9.1,2016-01-01
Ethiopia,Africa,2017,10.3,2017-01-01
Ethiopia,Africa,2018,10.4,2018-01-01
Ethiopia,Africa,2019,9.8,2019-01-01
Ethiopia,Africa,2020,9.1,2020-01-01
Ethiopia,Africa,2021,12.1,2021-01-01
Ethiopia,Africa,2022,12.9,2022-01-01
Ethiopia,Africa,2023,12.9,2023-01-01
Ethiopia,Africa,2024,11.9,2024-01-01
Fiji,Oceania,2015,3.1,2015-01-01
Fiji,Oceania,2016,2.7,2016-01-01
Fiji,Oceania,2017,3.3,2017-01-01
Fiji,Oceania,2018,4.0,2018-01-01
Fiji,Oceania,2019,3.0,2019-01-01
Fiji,Oceania,2020,2.1,2020-01-01
Fiji,Oceania,2021,4.8,2021-01-01
Fiji,Oceania,2022,6.2,2022-01-01
Fiji,Oceania,2023,5.2,2023-01-01
Fiji,Oceania,2024,4.3,2024-01-01
Finland,Europe,2015,1.0,2015-01-01
Finland,Europe,2016,0.8,2016-01-01
Finland,Europe,2017,1.2,2017-01-01
Finland,Europe,2018,1.2,2018-01-01
Finland,Europe,2019,1.2,2019-01-01
Finland,Europe,2020,0.6,2020-01-01
Finland,Europe,2021,2.5,2021-01-01
Finland,Europe,2022,3.5,2022-01-01
Finland,Europe,2023,3.0,2023-01-01
Finland,Europe,2024,2.2,2024-01-01
France,Europe,2015,0.8,2015-01-01
France,Europe,2016,0.9,2016-01-01
France,Europe,2017,1.4,2017-01-01
France,Europe,2018,1.4,2018-01-01
France,Europe,2019,1.2,2019-01-01
France,Europe,2020,0.2,2020-01-01
France,Europe,2021,3.0,2021-01-01
France,Europe,2022,4.1,2022-01-01
France,Europe,2023,3.0,2023-01-01
France,Europe,2024,2.4,2024-01-01
Gabon,Africa,2015,1.9,2015-01-01
Gabon,Africa,2016,1.9,2016-01-01
Gabon,Africa,2017,2.6,2017-01-01
Gabon,Africa,2018,2.6,2018-01-01
Gabon,Africa,2019,2.7,2019-01-01
Gabon,Africa,2020,2.4,2020-01-01
Gabon,Africa,2021,3.7,2021-01-01
Gabon,Africa,2022,4.9,2022-01-01
